Name: CCTV-2, URL: http://112.18.54.52:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 509 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://59.173.243.210:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 155 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-2, URL: http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907&amp$订阅源, Date: None, Delay: 23 ms, Speed: 6.10 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://59.173.243.210:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 155 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-2, URL: http://123.132.233.194:352/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 1297 ms, Speed: 0.08 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://119.36.148.115:59901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 1378 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://113.220.234.228:9999/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 163 ms, Speed: 0.22 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://183.136.148.214:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 342 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://58.221.214.82:9901/tsfile/live/0002_1.m3u8$订阅源, Date: None, Delay: 146 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://43.248.128.135:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 683 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://www.terrykang.xyz:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 205 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://www.terrykang.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 205 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://119.8.31.109:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 345 ms, Speed: 0.00 M/s, Resolution: 1920x1080
